brand,model,year,mpf,category,category_by_score,iron_number,source
COBRA,King F9 One Length #6,2019,830,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King LTDx One Length #6,2022,830,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,TE+ V4 Black Forged #6,2024,830,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,XC2 Forged #6,2025,828,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845 #6,2020,828,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MALTBY,KE4 MP1 #6,2013,827,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,I,1975,826,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
GOLFSMITH,Snake Eyes Viper Ti 4,2006,825,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845s Oversize Plus,2002,825,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CLEVELAND,TA7 Tour Action #6,2002,824,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,King SZ #6,2020,824,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
MAXFLI,VHL USA,1994,823,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
COBRA,King Radspeed #6,2021,822,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
BEN HOGAN,BH-5,2004,821,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
MIZUNO,JPX FLI HI Hybrid #6,2012,821,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
PING,EYE,1981,821,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
PING,G25 #6,2013,821,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TOMMY ARMOUR,845 Stripe,2002,821,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
CALLAWAY,Quantum Max OS #6,2026,820,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
TITLEIST,T350 Forged #6,2024,820,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
GOLFWORKS,DM Pro Launch +,2003,818,Super Game Improvement,Super Game Improvement,,GolfWorks Maltby Playability Factor
TAYLORMADE,RSi #6,2015,818,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
CALLAWAY,Ai Smoke MAX Fast #6,2024,817,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
COBRA,Baffler #6,2013,817,Super Game Improvement,Super Game Improvement,6,GolfWorks Maltby Playability Factor
